frame,left_opening,right_opening
0,36.00,35.00
1,35.00,33.00
2,34.00,33.00
3,35.00,33.00
4,35.00,34.00
5,34.00,33.00
6,34.00,32.00
7,34.00,31.00
8,35.00,33.00
9,34.00,33.00
10,34.00,33.00
11,34.00,33.00
12,34.00,29.00
13,34.00,32.00
14,34.00,33.00
15,34.10,31.00
16,35.00,31.00
17,34.00,30.00
18,34.00,29.00
19,34.00,27.00
20,35.00,30.00
21,34.00,29.00
22,34.00,28.00
23,33.85,28.00
24,34.00,28.00
25,33.00,29.00
26,33.00,29.15
27,34.00,30.00
28,33.00,30.00
29,34.00,29.00
30,35.00,29.00
31,31.00,31.00
32,31.00,31.00
33,28.55,29.00
34,14.00,14.00
35,19.00,20.00
36,19.00,15.30
37,13.00,16.00
38,16.00,20.00
39,22.00,24.00
40,27.00,27.00
41,26.00,29.00
42,26.00,28.00
43,27.00,28.00
44,29.00,29.00
45,30.00,34.00
46,27.00,33.00
47,30.85,34.00
48,33.00,33.00
49,32.00,33.00
50,33.00,33.00
51,31.00,34.00
52,33.00,33.00
53,31.00,34.00
54,32.60,37.30
55,35.00,36.00
56,34.00,36.00
57,34.00,35.00
58,33.00,36.00
59,35.00,37.00
60,33.00,35.25
61,35.00,31.65
62,35.00,32.00
63,35.00,30.00
64,35.00,31.00
65,35.00,31.00
66,34.00,30.00
67,35.00,31.00
68,36.00,28.00
69,37.00,30.15
70,38.00,31.00
71,37.00,30.00
72,38.00,33.00
73,39.00,33.00
74,39.20,31.00
75,39.00,29.00
76,40.00,31.65
77,37.00,32.00
78,37.00,32.00
79,39.00,31.00
80,39.00,32.00
81,39.00,35.00
82,39.00,35.00
83,38.00,33.45
84,39.70,34.00
85,39.00,34.00
86,39.00,33.00
87,40.00,34.00
88,39.00,35.00
89,40.00,35.00
90,41.00,37.65
91,41.00,37.00
92,40.00,37.00
93,41.00,40.00
94,41.00,36.00
95,41.00,39.00
96,41.00,37.40
97,42.00,39.00
98,43.00,41.00
99,42.50,40.00
100,44.00,41.00
101,42.00,39.00
102,42.00,40.85
103,42.00,40.00
104,43.00,40.00
105,42.00,41.00
106,43.00,42.00
107,41.00,38.00
108,42.00,40.00
109,41.00,39.00
110,42.00,40.00
111,42.00,40.00
112,42.50,39.00
113,39.00,39.00
114,40.00,39.00
115,39.00,39.00
116,39.00,39.00
117,36.00,39.00
118,39.00,38.00
119,37.00,38.00
120,39.00,39.00
121,40.00,39.00
122,40.00,39.00
123,40.00,35.00
124,35.00,29.00
125,37.00,28.00
126,37.00,28.00
127,36.45,26.00
128,36.00,28.00
129,39.00,34.00
130,36.00,35.00
131,35.95,31.00
132,37.00,33.00
133,36.00,32.00
134,38.00,34.00
135,35.00,34.00
136,35.00,31.10
137,32.00,34.00
138,34.00,34.00
139,38.00,32.00
140,34.00,34.00
141,32.50,33.00
142,33.45,33.00
143,33.00,32.00
144,34.00,31.00
145,34.00,30.00
146,33.00,32.00
147,34.00,33.00
148,33.00,32.50
149,31.65,29.00
150,33.00,30.00
151,34.00,28.75
152,36.00,31.00
153,36.00,32.00
154,36.00,31.00
155,37.00,36.00
156,37.00,37.00
157,39.00,37.45
158,40.00,37.00
159,39.00,36.00
160,37.00,35.00
161,38.00,35.00
162,36.00,34.30
163,38.00,37.00
164,40.00,35.00
165,38.00,35.00
166,37.00,35.00
167,38.00,34.90
168,36.00,30.00
169,35.00,32.00
170,34.15,28.00
171,37.00,31.00
172,36.00,30.00
173,34.00,29.00
174,36.00,31.00
175,34.00,26.00
176,33.00,28.00
177,34.00,30.00
178,35.00,31.00
179,34.00,25.00
180,34.00,30.00
181,34.00,28.00
182,34.00,28.00
183,33.00,27.00
184,32.00,26.00
185,31.00,27.00
186,33.00,36.00
187,33.00,38.00
188,32.00,37.00
189,32.00,38.00
190,32.00,39.00
191,32.00,36.60
192,18.00,26.00
193,21.00,11.00
194,10.00,12.00
195,11.00,12.00
196,10.00,18.00
197,19.00,22.00
198,22.00,28.00
199,23.00,28.00
200,28.00,30.00
201,30.00,32.00
202,29.00,31.00
203,31.00,31.00
204,31.00,29.75
205,33.00,26.00
206,33.00,29.00
207,33.00,32.00
208,32.00,32.00
209,32.00,31.00
210,34.00,34.00
211,34.00,34.00
212,34.00,36.00
213,35.00,35.00
214,35.00,35.00
215,36.00,34.90
216,35.00,37.00
217,37.00,39.00
218,35.00,39.00
219,36.00,40.00
220,36.00,40.00
221,36.00,40.00
222,36.00,40.00
223,36.00,39.45
224,35.00,38.00
225,35.00,39.00
226,36.00,38.00
