frame,left_opening,right_opening
0,54.00,53.00
1,51.00,49.00
2,21.00,22.00
3,28.00,34.00
4,28.00,33.00
5,24.00,25.00
6,32.00,33.00
7,44.00,44.00
8,50.00,50.00
9,55.00,53.00
10,55.00,55.00
11,56.00,56.00
12,57.00,56.00
13,58.00,57.00
14,57.00,57.00
15,57.00,56.00
16,56.00,56.00
17,57.05,56.00
18,56.00,55.00
19,57.00,56.00
20,56.00,56.00
21,56.00,55.00
22,56.00,56.20
23,56.00,55.00
24,56.45,56.00
25,56.00,55.00
26,56.00,56.00
27,56.00,56.00
28,56.00,56.00
29,55.00,55.00
30,55.00,55.00
31,56.00,55.00
32,55.50,55.00
33,56.00,55.00
34,55.40,55.00
35,55.00,55.00
36,56.00,55.00
37,56.00,55.00
38,56.00,55.00
39,56.65,55.00
40,56.00,55.00
41,56.00,56.00
42,56.00,55.00
43,56.00,56.00
44,56.00,56.00
45,56.00,56.00
46,56.00,56.00
47,56.00,55.00
48,56.00,56.00
49,57.00,56.00
50,57.00,56.00
51,56.00,55.00
52,56.00,56.00
53,55.00,56.00
54,55.00,56.00
55,55.00,55.00
56,55.00,54.00
57,55.00,55.00
58,55.00,55.00
59,55.00,54.00
60,56.00,55.00
61,56.00,55.00
62,56.00,55.00
63,55.00,55.00
64,56.00,56.00
65,56.00,54.00
66,56.00,55.00
67,55.00,55.00
68,56.00,56.00
69,56.00,56.00
70,41.00,38.90
71,26.00,31.00
72,28.00,32.00
73,23.00,25.00
74,35.00,35.00
75,44.00,42.00
76,49.00,48.00
77,52.00,51.00
78,54.00,52.00
79,54.00,54.00
80,55.00,54.00
81,55.00,55.00
82,56.00,55.00
83,56.00,55.00
84,56.00,56.00
85,56.00,55.00
86,56.00,55.00
87,56.00,55.00
88,56.00,57.00
89,56.00,56.00
90,56.00,55.00
91,57.00,55.00
92,57.00,56.00
93,57.00,55.00
94,56.00,55.00
95,56.00,55.00
96,55.00,55.00
97,56.85,55.00
98,56.00,55.00
99,56.00,55.00
100,56.00,55.00
101,55.00,56.00
102,56.00,55.00
103,55.00,55.00
104,56.00,55.00
105,56.00,55.00
106,58.00,55.00
107,57.00,57.00
108,57.00,56.00
109,57.00,56.00
110,56.25,56.00
111,56.00,56.00
112,57.00,55.00
113,56.00,55.00
114,56.00,55.00
115,57.00,56.00
116,57.00,56.00
117,57.00,56.00
118,57.00,57.00
119,57.00,57.00
120,57.00,57.00
121,58.00,56.00
122,57.00,57.00
123,58.00,56.00
124,58.00,56.00
125,59.00,57.00
126,58.00,56.00
127,57.00,56.00
128,57.00,55.00
129,47.00,44.00
130,21.00,26.00
131,31.00,33.00
132,26.00,26.00
133,30.00,32.00
134,40.00,39.00
135,45.30,45.40
136,49.00,48.00
137,52.00,51.00
138,53.00,52.00
139,54.00,54.00
140,54.00,54.00
141,55.00,55.00
142,56.00,55.00
143,56.00,56.00
144,57.00,56.00
145,57.00,56.00
146,57.00,56.00
147,57.00,56.00
148,58.00,57.00
149,58.00,58.00
150,58.00,57.00
151,59.00,57.00
152,58.00,56.00
153,58.00,57.00
154,58.00,57.00
155,58.00,59.00
156,58.00,57.00
157,57.00,57.00
158,58.00,57.00
159,58.00,58.00
160,58.00,58.00
161,58.00,57.00
162,58.00,57.00
163,57.00,56.00
164,57.00,56.00
165,56.00,56.00
166,57.00,56.00
167,57.00,55.00
168,58.00,56.00
169,58.00,55.00
170,57.00,56.00
171,57.00,56.00
172,58.00,56.00
173,56.00,56.00
174,57.00,56.00
175,58.00,55.00
176,57.00,56.00
177,57.00,56.00
178,57.00,56.00
179,57.00,56.00
180,57.00,56.00
181,57.00,57.00
182,57.00,56.00
183,57.00,57.00
184,57.00,56.00
185,58.00,56.00
186,59.00,57.00
187,59.00,56.00
188,58.00,56.00
189,57.00,57.00
190,57.00,56.00
191,57.00,55.00
192,57.00,56.00
193,57.00,55.00
194,58.00,56.00
195,57.00,56.00
196,57.00,56.00
197,57.00,55.00
198,56.00,55.00
199,53.00,53.00
200,38.00,39.00
201,26.00,29.00
202,31.00,37.00
203,30.00,36.00
204,31.00,34.00
205,28.00,26.00
206,26.00,29.00
207,37.00,39.00
208,43.00,45.00
209,47.00,48.00
210,48.00,50.00
211,50.00,51.00
212,51.00,52.00
213,53.00,53.00
214,53.00,54.00
215,53.00,54.00
216,54.00,55.00
217,55.00,55.00
218,56.00,56.00
219,58.00,58.00
220,57.00,58.00
221,57.00,57.00
222,57.00,58.00
223,58.00,58.00
224,57.00,58.00
225,57.00,59.00
226,59.00,58.00
227,58.00,58.00
228,58.00,58.00
229,59.00,58.00
230,58.00,58.00
