frame,left_opening,right_opening
0,58.00,51.00
1,58.00,53.00
2,58.00,52.00
3,58.00,53.00
4,59.00,52.15
5,58.00,53.00
6,59.00,54.00
7,59.00,53.00
8,59.00,54.00
9,60.00,55.00
10,60.00,54.00
11,60.00,55.00
12,59.00,53.00
13,58.00,54.00
14,59.00,54.00
15,59.00,53.80
16,58.00,53.00
17,57.00,53.00
18,58.00,54.00
19,59.00,53.00
20,58.00,54.00
21,59.00,54.00
22,59.00,54.00
23,58.00,55.00
24,59.00,54.00
25,59.00,54.00
26,59.00,55.00
27,58.00,54.00
28,58.00,54.00
29,57.00,54.00
30,58.00,53.00
31,58.00,53.00
32,59.00,54.00
33,57.45,52.00
34,58.00,52.00
35,58.00,51.00
36,57.00,53.00
37,57.00,50.00
38,58.00,51.00
39,57.00,49.65
40,56.10,49.00
41,56.00,48.00
42,55.00,49.00
43,55.00,50.00
44,56.00,48.00
45,54.00,48.00
46,55.00,48.00
47,55.00,48.00
48,55.00,47.00
49,54.00,47.00
50,54.00,46.00
51,53.00,45.00
52,54.00,47.00
53,54.00,46.00
54,55.00,46.00
55,54.00,48.00
56,54.00,47.00
57,54.00,47.00
58,54.00,46.00
59,54.00,47.00
60,54.00,45.00
61,54.00,45.00
62,54.00,46.00
63,54.00,44.00
64,53.00,45.00
65,53.00,44.00
66,53.00,46.00
67,53.00,47.00
68,53.00,44.00
69,53.00,45.00
70,53.00,45.00
71,53.00,47.00
72,52.00,47.00
73,53.00,46.00
74,52.00,47.00
75,52.00,47.00
76,52.00,45.00
77,51.00,46.00
78,51.00,44.00
79,50.00,44.00
80,52.00,45.00
81,52.00,46.00
82,52.00,46.00
83,53.00,45.00
84,52.00,46.00
85,52.00,45.00
86,52.00,46.00
87,53.00,46.00
88,54.00,46.00
89,52.00,46.00
90,53.00,46.00
91,52.00,45.00
92,52.00,45.00
93,53.00,44.00
94,52.00,46.00
95,52.00,46.00
96,53.00,45.00
97,53.00,46.00
98,51.00,45.00
99,45.00,40.00
100,20.00,25.00
101,19.00,35.00
102,24.00,28.00
103,29.30,21.00
104,36.00,28.00
105,40.00,32.00
106,43.00,35.00
107,44.00,38.00
108,47.00,39.00
109,47.00,40.00
110,48.00,41.00
111,48.00,42.00
112,48.00,42.00
113,49.00,41.85
114,49.00,42.00
115,48.00,42.00
116,49.00,42.00
117,49.00,43.00
118,49.00,43.00
119,49.00,43.00
120,49.00,43.00
121,51.00,43.00
122,50.00,43.00
123,51.00,44.00
124,51.00,44.00
125,51.00,45.00
126,51.00,45.00
127,52.00,45.00
128,53.00,45.00
129,52.00,44.00
130,53.00,44.00
131,53.00,46.00
132,53.00,46.00
133,53.00,46.00
134,55.00,46.00
135,54.00,48.00
136,46.00,41.00
137,23.00,34.00
138,20.00,40.00
139,19.00,37.00
140,28.00,27.00
141,37.00,27.00
142,44.00,35.00
143,47.00,39.00
144,49.00,41.00
145,52.00,45.00
146,53.00,44.00
147,53.00,46.00
148,53.00,46.00
149,54.00,48.80
150,55.65,49.00
151,56.00,49.00
152,55.00,50.00
153,55.00,49.00
154,56.00,50.00
155,56.00,51.00
156,56.00,51.00
157,57.00,51.00
158,57.00,52.00
159,57.00,52.00
160,57.00,51.00
161,57.00,51.00
162,56.00,52.00
163,57.00,52.00
164,57.00,52.00
165,56.00,51.00
166,50.00,47.00
167,23.00,24.00
168,20.00,40.00
169,21.00,41.00
