frame,left_opening,right_opening
0,38.50,46.00
1,27.00,28.00
2,19.00,20.90
3,20.00,21.00
4,24.00,23.00
5,30.00,29.00
6,32.00,35.00
7,35.00,39.00
8,35.00,42.00
9,38.00,43.00
10,38.00,44.00
11,38.00,44.00
12,38.20,42.00
13,37.00,42.00
14,38.00,42.00
15,37.00,42.00
16,38.95,43.00
17,38.00,44.00
18,38.00,44.00
19,40.00,43.00
20,38.00,45.00
21,41.00,45.00
22,41.00,44.00
23,40.00,44.00
24,41.00,44.00
25,40.00,45.00
26,41.00,44.00
27,40.00,43.00
28,40.00,44.00
29,38.00,43.00
30,38.00,44.00
31,41.00,44.00
32,39.00,44.00
33,38.00,46.00
34,39.00,46.00
35,37.10,43.00
36,38.00,45.00
37,36.00,43.00
38,40.00,47.00
39,37.00,44.00
40,39.00,47.00
41,38.00,44.00
42,39.00,44.00
43,39.30,44.00
44,41.00,45.00
45,42.00,45.00
46,40.00,44.00
47,41.00,44.00
48,40.10,44.00
49,40.00,46.00
50,39.00,42.00
51,20.00,20.00
52,18.00,23.00
53,16.00,24.00
54,21.00,20.00
55,24.00,24.00
56,32.00,31.00
57,34.00,34.00
58,38.00,39.00
59,38.00,43.00
60,39.00,45.00
61,39.00,45.00
62,28.00,28.00
63,12.00,22.00
64,15.00,18.00
65,28.80,18.00
66,27.50,16.80
67,26.00,17.00
68,14.00,16.00
69,10.00,11.00
70,18.00,19.00
71,23.00,26.00
72,30.00,31.00
73,32.00,35.00
74,35.00,39.00
75,38.20,42.00
76,39.00,42.00
77,40.00,43.00
78,40.00,45.00
79,39.00,45.00
80,38.00,41.00
81,16.00,16.00
82,17.00,24.00
83,14.00,20.00
84,24.00,25.00
85,29.00,33.00
86,36.00,37.00
87,36.00,40.00
88,40.00,41.00
89,40.00,42.00
90,38.00,42.00
91,41.00,43.00
92,39.65,43.00
93,40.00,42.00
94,41.00,43.00
95,40.00,43.00
96,41.00,45.00
97,40.00,44.00
98,40.00,43.00
99,41.00,43.00
100,38.00,43.00
101,40.00,42.00
102,38.00,42.00
103,40.00,43.00
104,40.00,43.00
105,39.00,42.00
106,39.00,42.00
107,35.00,43.00
108,35.55,42.00
109,36.00,45.00
110,36.00,43.00
111,35.00,41.00
112,35.50,40.00
113,39.00,42.00
114,38.00,42.00
115,38.10,41.00
116,39.00,45.00
117,36.00,42.10
118,37.00,42.00
119,38.00,42.00
120,39.00,41.00
121,38.00,42.00
122,36.00,43.00
123,35.00,44.90
124,35.00,41.00
125,39.00,42.00
126,39.00,45.00
127,38.00,41.00
128,38.00,41.00
129,38.00,41.00
130,38.00,41.00
131,38.00,40.00
132,38.00,41.00
133,37.00,40.00
134,35.00,41.00
135,38.00,40.00
136,36.00,41.00
137,38.00,41.00
138,36.00,40.00
139,38.00,43.00
140,36.00,40.00
141,38.00,43.00
142,37.00,43.00
143,35.00,44.00
144,37.00,40.00
145,34.00,42.00
146,37.00,41.00
147,34.00,41.35
148,35.00,41.00
149,35.00,41.00
150,36.00,41.00
151,35.05,40.00
152,36.00,40.00
153,35.00,41.00
154,36.00,41.00
155,38.00,40.00
156,35.00,41.00
157,36.00,40.00
158,35.00,40.00
159,37.00,40.00
160,37.00,40.00
161,38.00,40.00
162,38.00,40.00
163,38.00,40.00
164,37.00,42.00
165,37.00,41.00
166,34.00,41.00
167,37.00,41.05
168,35.00,41.00
169,37.00,41.00
170,37.00,40.00
171,35.00,40.00
172,35.00,41.00
173,34.00,43.00
174,35.00,40.00
175,36.00,40.00
176,35.00,40.00
177,36.00,40.00
178,35.00,40.00
179,34.00,39.00
180,35.00,40.00
181,35.00,40.00
182,36.00,41.00
183,35.00,40.00
184,35.00,40.00
185,37.00,41.00
186,35.00,41.00
187,35.00,41.00
188,35.00,43.00
189,36.00,41.00
190,36.00,40.00
191,39.00,40.50
192,38.00,40.00
193,38.00,39.00
194,37.00,41.00
195,38.00,41.00
196,38.00,41.00
197,35.00,40.00
198,37.80,41.00
199,37.00,44.00
200,38.00,42.00
201,38.00,41.00
202,38.00,41.00
203,35.00,44.00
204,39.00,44.00
205,37.00,40.00
206,38.00,43.00
207,39.00,43.00
208,38.00,43.00
209,38.00,41.00
210,38.00,41.00
211,38.00,42.00
212,38.00,42.00
213,39.00,42.00
214,38.00,42.00
215,40.00,42.00
216,39.00,41.00
217,38.00,42.00
218,39.00,44.00
219,39.00,41.00
220,38.00,41.00
221,39.00,41.00
222,39.00,40.00
223,38.00,40.00
224,38.80,41.00
225,39.00,41.00
226,39.00,41.00
227,38.00,41.00
228,38.00,41.00
229,38.00,41.00
230,39.00,41.00
231,39.05,41.00
232,38.00,43.00
233,40.00,40.00
234,40.00,40.00
235,40.00,40.00
236,39.00,40.00
237,39.00,40.00
238,37.00,40.00
239,37.00,41.00
240,39.00,41.00
241,39.00,41.00
242,39.00,42.00
243,38.00,41.00
244,37.00,40.00
245,38.00,41.00
246,37.00,40.00
247,38.00,40.00
248,38.00,39.00
249,30.00,32.00
250,17.00,20.00
251,14.00,20.00
252,22.00,23.00
253,27.00,30.00
254,31.00,33.00
255,32.00,36.65
256,34.00,36.00
257,35.00,39.00
258,37.00,39.00
259,35.00,38.00
260,24.00,21.00
261,20.00,19.00
262,20.00,20.00
263,24.00,24.00
264,29.00,29.00
265,32.00,32.00
266,32.00,35.00
267,35.00,39.00
268,35.00,40.00
269,36.00,41.00
270,36.00,42.00
271,36.00,42.00
272,36.00,41.50
273,36.00,41.00
274,30.00,34.00
275,20.00,20.00
276,18.00,19.00
277,20.00,22.00
278,28.00,25.00
279,31.00,31.00
280,32.00,35.00
281,33.00,36.00
282,34.00,37.00
283,34.00,38.00
284,37.00,38.00
285,34.00,41.45
286,35.00,42.00
287,35.00,40.00
288,34.00,42.00
289,37.00,39.50
290,32.00,40.00
291,33.00,40.00
292,37.00,40.00
293,37.00,40.00
294,35.00,39.00
295,38.00,39.00
296,38.00,40.00
297,36.00,42.00
298,37.00,40.00
299,38.00,41.00
300,38.00,43.00
301,38.00,42.00
302,38.00,42.00
303,37.00,43.00
304,34.00,41.00
305,37.00,41.00
306,38.00,42.00
307,38.00,42.00
308,34.00,43.00
309,38.00,43.00
310,38.00,44.00
311,38.00,44.00
312,38.00,41.00
313,35.00,41.00
314,35.00,41.00
315,35.00,40.00
316,35.00,41.00
317,35.00,41.00
318,32.00,34.00
319,20.00,19.00
320,18.00,19.00
321,22.00,21.00
322,29.00,26.55
323,31.00,32.00
324,32.00,35.00
325,34.00,37.00
326,33.00,37.00
