frame,left_opening,right_opening
0,67.00,69.00
1,66.00,70.00
2,63.00,69.00
3,64.00,66.00
4,64.00,66.00
5,66.00,66.00
6,65.00,66.00
7,63.00,66.00
8,66.00,67.00
9,67.00,68.00
10,66.00,70.00
11,72.00,40.00
12,78.00,59.00
13,80.00,45.00
14,76.00,65.00
15,71.00,65.00
16,67.00,63.00
17,67.00,66.00
18,64.00,67.00
19,65.00,67.00
20,65.00,67.00
21,68.00,69.00
22,66.00,69.00
23,66.00,68.00
24,66.00,69.00
25,66.00,69.00
26,67.00,66.00
27,67.00,67.00
28,67.00,65.00
29,67.00,66.00
30,67.00,67.00
31,67.00,67.00
32,67.00,67.00
33,67.00,66.00
34,66.00,68.00
35,66.00,66.00
36,66.00,67.00
37,67.00,66.00
38,68.00,67.00
39,67.00,68.00
40,66.00,68.00
41,66.00,66.00
42,66.00,67.00
43,67.00,68.00
44,66.00,68.00
45,66.00,67.00
46,68.00,68.00
47,67.00,69.00
48,66.00,69.00
49,67.00,68.00
50,68.00,68.00
51,67.00,67.00
52,64.00,67.00
53,72.00,46.00
54,73.00,49.50
55,78.00,51.00
56,73.00,48.00
57,71.00,63.00
58,69.00,67.00
59,68.00,69.00
60,68.00,69.00
61,68.00,69.00
62,67.00,68.00
63,68.00,67.00
64,67.00,68.00
65,65.00,67.00
66,68.00,67.40
67,67.00,67.00
68,67.00,67.00
69,67.00,67.00
70,66.00,67.00
71,67.00,66.00
72,66.00,67.00
73,67.00,66.00
74,67.00,68.00
75,66.00,67.00
76,67.00,66.00
77,66.00,65.00
78,65.00,66.00
79,66.00,66.00
80,66.00,67.00
81,66.00,66.00
82,66.00,66.00
83,65.00,68.00
84,67.00,68.00
85,68.00,68.00
86,66.00,66.00
87,66.00,68.00
88,67.00,67.00
89,66.00,67.00
90,65.00,67.00
91,67.00,67.00
92,67.00,67.00
93,66.00,67.00
94,66.00,68.00
95,66.00,68.00
96,67.00,68.00
97,66.00,68.00
98,67.00,68.00
99,66.00,68.00
100,66.00,68.00
101,66.00,68.00
102,65.00,67.00
103,67.00,68.00
104,66.00,69.00
105,66.00,68.00
106,67.00,69.00
107,67.00,68.00
108,67.00,68.00
109,67.00,67.00
110,67.00,66.00
111,66.00,67.00
112,67.00,67.00
113,67.00,67.00
114,65.00,67.00
115,66.00,67.00
116,66.00,69.00
117,66.00,68.00
118,66.00,66.00
119,66.00,67.00
120,66.00,67.00
121,67.00,67.00
122,66.00,68.00
123,66.00,67.00
124,67.00,68.00
125,67.00,67.00
126,66.00,67.00
127,67.00,67.00
128,67.00,68.00
129,68.00,68.00
130,67.00,68.00
131,67.00,68.00
132,67.00,68.15
133,67.00,69.00
134,67.00,70.00
135,67.00,69.00
136,67.00,69.00
137,67.00,69.00
138,67.00,68.00
139,67.00,69.00
140,68.00,68.00
141,67.00,69.00
142,67.00,68.00
143,67.00,69.00
144,68.00,68.00
145,69.00,68.00
146,68.00,69.00
147,68.00,67.00
148,68.00,68.00
149,68.00,68.00
150,68.00,69.00
151,68.00,68.00
152,67.00,68.00
153,68.00,68.00
154,67.00,69.00
155,68.00,68.00
156,68.00,69.00
157,68.00,69.00
158,68.00,70.00
159,69.00,70.00
160,69.00,68.00
161,68.00,68.00
162,68.00,68.00
163,68.00,68.00
164,68.00,67.00
165,68.00,68.00
166,68.00,68.00
167,68.00,68.00
168,68.00,68.00
169,64.00,64.00
170,73.00,65.00
171,67.00,66.00
172,71.00,64.00
173,67.00,66.00
174,67.00,66.00
175,67.00,68.00
176,69.00,68.00
177,68.00,66.00
178,66.00,66.00
179,67.00,67.00
180,68.00,66.00
181,68.00,67.00
182,68.00,67.00
183,68.00,67.00
184,67.00,67.00
185,68.00,65.00
186,68.00,65.95
187,68.00,67.00
188,67.00,66.00
189,68.00,66.00
190,68.00,66.00
191,67.00,68.00
192,68.00,66.00
193,67.00,66.00
194,68.00,67.00
195,68.00,66.00
196,68.00,65.00
197,68.00,66.00
198,68.00,68.00
199,68.00,66.00
200,67.00,67.00
201,67.00,67.00
202,67.00,66.00
203,67.00,67.00
204,67.00,67.00
205,68.00,68.00
206,68.00,68.00
207,68.00,68.00
208,68.00,66.00
209,67.00,67.00
210,67.00,67.00
211,68.00,69.00
212,67.00,68.00
213,68.00,68.00
214,67.00,69.00
215,67.00,69.00
