frame,left_opening,right_opening
0,47.00,42.00
1,47.00,42.00
2,46.00,44.00
3,38.00,39.00
4,15.00,18.00
5,25.00,27.00
6,34.00,39.00
7,35.05,43.00
8,43.00,40.00
9,42.00,45.00
10,47.00,42.00
11,44.00,35.00
12,23.00,25.00
13,20.00,25.00
14,42.00,44.00
15,49.00,47.00
16,50.00,47.00
17,48.00,47.00
18,48.45,46.00
19,48.00,47.00
20,48.00,47.00
21,42.25,43.00
22,48.00,41.00
23,42.00,46.00
24,47.00,41.00
25,36.00,46.00
26,42.00,42.00
27,45.00,43.00
28,47.40,38.00
29,43.00,40.00
30,41.00,40.00
31,47.00,46.00
32,47.00,44.00
33,46.25,45.00
34,42.50,43.00
35,43.00,45.00
36,46.00,45.00
37,43.00,42.00
38,47.00,42.00
39,43.00,40.00
40,46.00,42.00
41,33.00,46.00
42,33.00,47.00
43,42.00,47.00
44,28.00,28.00
45,17.00,20.00
46,26.00,36.00
47,30.00,43.00
48,37.00,41.00
49,43.00,46.00
50,44.00,40.80
51,42.00,44.00
52,41.00,45.00
53,36.00,42.00
54,42.00,38.00
55,45.00,43.00
56,46.00,45.00
57,44.00,43.90
58,48.00,42.00
59,46.00,46.00
60,48.00,46.00
61,48.00,44.00
62,48.00,39.00
63,49.00,44.00
64,33.00,47.00
65,46.00,43.00
66,47.00,44.00
67,25.00,38.00
68,36.00,42.00
69,45.20,41.00
70,18.00,25.00
71,20.00,24.00
72,36.00,40.00
73,44.00,38.00
74,31.00,41.00
75,43.00,39.00
76,33.00,42.00
77,34.00,37.00
78,17.00,23.00
79,30.00,41.00
80,40.00,41.00
81,46.00,40.00
82,46.00,43.00
83,40.55,41.00
84,43.00,37.00
85,30.00,41.00
86,43.00,40.00
87,39.00,42.00
88,31.00,41.00
89,47.00,44.00
90,47.00,43.00
91,48.00,43.00
92,48.00,44.00
93,49.00,44.00
94,46.00,48.00
95,49.00,47.00
96,49.00,48.00
97,49.80,45.00
98,47.00,43.00
99,46.00,46.00
100,50.00,48.00
101,47.00,47.00
102,48.00,47.45
103,45.00,47.00
104,48.00,47.00
105,50.00,46.00
106,15.00,18.00
107,30.00,32.00
108,44.00,43.15
109,47.00,46.00
110,47.00,46.00
111,48.00,46.00
112,47.00,42.00
113,46.00,45.00
114,48.00,41.00
115,49.00,44.00
116,48.00,47.00
117,51.00,44.00
118,50.00,45.00
119,51.00,47.00
120,50.00,48.00
121,49.00,47.00
122,47.00,46.00
123,50.00,49.00
124,51.00,46.00
125,52.00,48.00
126,51.00,48.00
127,50.00,49.00
128,51.00,48.00
129,52.00,48.00
130,33.00,31.00
131,27.00,29.00
132,47.00,45.00
133,49.00,48.00
134,50.00,49.00
135,51.00,50.00
136,51.00,49.00
137,23.00,22.00
138,30.00,32.10
139,49.00,43.00
140,49.00,46.00
141,19.00,22.00
142,25.00,30.00
143,46.00,46.00
144,49.00,49.00
145,49.00,49.35
146,49.00,50.00
147,50.00,50.00
148,51.00,50.00
149,52.00,50.00
150,51.00,51.00
151,50.00,50.00
152,32.00,33.00
153,46.00,46.00
154,22.00,22.00
155,22.00,26.00
156,45.00,45.85
157,49.55,47.00
158,52.00,49.00
159,51.00,48.00
160,50.00,50.00
161,52.00,51.00
162,52.00,51.00
163,52.00,49.00
164,53.00,50.00
165,53.00,50.00
166,52.00,52.90
167,30.00,30.00
168,45.00,44.00
